snapshot_id,event_id,district,lat,lon,label,lead_hours,month,day_of_year,humidity_spike_3h,humidity_spike_6h,humidity_max,pressure_drop_3h,pressure_drop_6h,precip_rate_max_mm_hr,precip_total_mm,precip_acceleration,cloud_cover_max_pct,wind_gust_max_ms,humidity_pressure_interaction,elevation_m
E18_L9,E18,Kullu,32.1167,77.3333,1,9,7,212,0.6400000000000006,1.2600000000000051,96.0,0.0399999999999991,0.0499999999999971,0.9,-1582979.06,98819.28,100.0,2.79,0.0629999999999966,3324.0
E19_L0,E19,Kullu,31.9578,77.1095,1,0,8,232,5.760000000000005,-0.1400000000000005,97.29,0.0100000000000051,-0.0499999999999971,4.1,-2474192.78,-98935.33999999998,100.0,3.35,0.0069999999999996,1229.0
E19_L3,E19,Kullu,31.9578,77.1095,1,3,8,231,-0.3900000000000005,1.0800000000000125,97.29,-0.0600000000000022,-0.1200000000000045,0.9,-2177280.16,98997.77000000002,100.0,3.35,-0.1296000000000064,1229.0
E19_L6,E19,Kullu,31.9578,77.1095,1,6,8,231,9.819999999999991,16.189999999999998,96.94,-0.0600000000000022,0.0900000000000034,0.9,-1880291.65,-99003.27999999998,100.0,3.35,1.457100000000055,1229.0
E19_L9,E19,Kullu,31.9578,77.1095,1,9,8,231,1.259999999999991,1.5300000000000011,96.94,0.1500000000000056,0.3000000000000113,0.9,-1583326.35,98965.66,100.0,3.35,0.4590000000000177,1229.0
E20_L0,E20,Kinnaur,31.5796,78.2803,1,0,8,234,15.0,0.0,100.0,0.0999999999999943,0.019999999999996,0.0,-2474667.56,-98986.52999999998,90.0,4.62,0.0,2220.0
E20_L3,E20,Kinnaur,31.5796,78.2803,1,3,8,233,0.0,2.1200000000000045,100.0,-0.0799999999999983,-0.0999999999999943,0.0,-2177710.49,98971.76999999996,90.0,4.62,-0.2119999999999884,2220.0
E20_L6,E20,Kinnaur,31.5796,78.2803,1,6,8,233,35.879999999999995,20.07,99.99,-0.019999999999996,0.0799999999999983,0.0,-1880769.94,-98969.42,83.0,4.62,1.6055999999999653,2220.0
E20_L9,E20,Kinnaur,31.5796,78.2803,1,9,8,233,2.4099999999999966,6.280000000000001,99.99,0.0999999999999943,0.2000000000000028,0.0,-1583850.7200000002,98992.8,83.0,4.62,1.256000000000018,2220.0
E21_L0,E21,Kinnaur,32.5,78.6,1,0,7,199,12.040000000000006,9.210000000000008,96.47,0.0800000000000054,-0.0399999999999991,5.4,-2474843.11,-98999.88,100.0,5.85,-0.3683999999999924,4443.0
E21_L3,E21,Kinnaur,32.5,78.6,1,3,7,198,5.010000000000005,21.559999999999995,96.47,-0.1200000000000045,-0.240000000000002,5.4,-2177843.43,98999.91,100.0,5.85,-5.174400000000042,4443.0
E21_L6,E21,Kinnaur,32.5,78.6,1,6,7,198,3.270000000000003,18.590000000000003,96.47,-0.1199999999999974,-0.0700000000000002,5.4,-1880843.68,-99000.15,100.0,5.85,-1.3013000000000057,4443.0
E21_L9,E21,Kinnaur,32.5,78.6,1,9,7,198,2.3200000000000003,4.189999999999998,96.47,0.0499999999999971,0.1599999999999966,5.4,-1583844.8099999998,99006.1,100.0,5.85,0.6703999999999853,4443.0
E22_L0,E22,Kullu,31.9578,77.1095,1,0,8,232,9.0,0.0,100.0,-0.039999999999992,-0.1099999999999994,4.5,-2473392.06,-98882.57,100.0,4.71,-0.0,1229.0
E22_L3,E22,Kullu,31.9578,77.1095,1,3,8,231,0.0,0.0,100.0,-0.0700000000000073,-0.0600000000000022,4.5,-2176767.53,99009.74,100.0,4.71,-0.0,1229.0
E22_L6,E22,Kullu,31.9578,77.1095,1,6,8,231,7.0,16.510000000000005,100.0,0.0100000000000051,0.1500000000000056,4.5,-1880002.63,-98953.86,100.0,4.71,2.4765000000000947,1229.0
E22_L9,E22,Kullu,31.9578,77.1095,1,9,8,231,3.0799999999999983,5.129999999999996,100.0,0.1400000000000005,0.25,4.5,-1583264.11,98944.36,100.0,4.71,1.2824999999999989,1229.0
E23_L0,E23,Kullu,32.0333,77.3333,1,0,8,221,4.0,1.3299999999999983,100.0,-0.0300000000000011,-0.1400000000000005,2.3,-2474616.58,-98977.46999999996,100.0,3.09,-0.1862000000000005,2398.0
E23_L3,E23,Kullu,32.0333,77.3333,1,3,8,220,1.480000000000004,5.650000000000006,99.71,-0.1099999999999994,-0.1199999999999974,0.9,-2177662.85,98967.17,100.0,3.09,-0.6779999999999863,2398.0
E23_L6,E23,Kullu,32.0333,77.3333,1,6,8,220,7.019999999999996,24.57,99.71,-0.009999999999998,0.0700000000000002,0.9,-1880726.58,-98980.69,100.0,3.09,1.7199000000000064,2398.0
E23_L9,E23,Kullu,32.0333,77.3333,1,9,8,220,4.530000000000001,9.260000000000003,99.71,0.0799999999999983,0.1400000000000005,0.9,-1583795.0499999998,98983.09,100.0,3.09,1.296400000000006,2398.0
E24_L0,E24,Kinnaur,31.4167,78.2667,1,0,8,221,13.010000000000003,2.950000000000003,99.01,-0.0099999999999909,-0.1499999999999914,0.6,-2474434.4799999995,-98914.25,100.0,2.32,-0.4424999999999752,2612.0
E24_L3,E24,Kinnaur,31.4167,78.2667,1,3,8,220,1.5499999999999972,5.379999999999996,99.0,-0.1400000000000005,-0.1400000000000005,0.6,-2177620.07,98973.73,100.0,2.32,-0.7532000000000024,2612.0
E24_L6,E24,Kinnaur,31.4167,78.2667,1,6,8,220,21.680000000000007,23.110000000000014,99.0,-0.0,0.0999999999999943,0.6,-1880726.42,-98967.14,100.0,2.32,2.31099999999987,2612.0
E24_L9,E24,Kinnaur,31.4167,78.2667,1,9,8,220,2.6799999999999926,6.419999999999995,99.0,0.0999999999999943,0.1599999999999966,0.6,-1583803.04,98981.96,100.0,2.26,1.0271999999999772,2612.0
E25_L0,E25,Kullu,32.0167,77.3333,1,0,7,187,5.0,0.0,100.0,0.0399999999999991,-0.1099999999999994,0.8,-2473115.5,-98833.13999999996,100.0,4.14,-0.0,1744.0
E25_L3,E25,Kullu,32.0167,77.3333,1,3,7,186,0.0,1.480000000000004,100.0,-0.1499999999999985,-0.1699999999999946,0.8,-2176542.44,98908.81,100.0,4.14,-0.2515999999999926,1744.0
